15	研究方向	1000	0001010000
13	合作最多	1000	0001010000
12	技术产出量	1000	0001010000
11	三方	1000	0001010000
10	有效	1000	0001010000
9	态势	1000	0001010000
8	最早	1000	0001010000
7	最新	1000	0001010000
6	最多	1000	0001010000
3	增长最快	1000	0001010000
14	被引	1001	0001010001
2	授权量	1100	0101010000
1	申请量	1100	0011010000
35	申请量	0110	0010010110
33	授权量	0110	0100010010
32	申请量	1110	0010110010
31	申请量	0110	0010010010
19	申请量	1110	0010110100
17	授权量	0110	0100010100
16	申请量	0110	0010010100
4	申请量	1110	0010110100
20	申请量	1101	0011010001
44	研究方向	0010	0000010010
42	合作最多	0010	0000010010
41	三方	0010	0000010010
40	有效	0010	0000010010
39	态势	0010	0000010010
38	最早	0010	0000010010
37	最新	0010	0000010010
36	最多	0010	0000010010
34	增长最快	0010	0000010010
30	研究方向	0010	0000010100
27	合作最多	0010	0000010100
26	三方	0010	0000010100
25	有效	0010	0000010100
24	态势	0010	0000010100
23	最早	0010	0000010100
22	最新	0010	0000010100
21	最多	0010	0000010100
18	增长最快	0010	0000010100
43	被引	0011	0000010011
29	被引	0011	0000010101
28	被引	0001	0000010001
5	最多	0001	0000010001
